when	n	family	result	seconds	observed
2026-09-20T01:27:30.777Z	36	F4 logic on the surface	REFUTED	0	3 cells: period 2 (expected 6); first ticks 000 111 000 111 000; 5 cells: period 2 (expected 10); first ticks 00000 11111 00000 11111 00000; 7 cells: period 2 (expected 14); first ticks 0000000 1111111 0000000 1111111 0000000
2026-09-20T01:27:30.783Z	37	F4 logic on the surface	CONFIRMED	0	8 of 8 rows right; 7 cells; settles by tick 3
2026-09-20T01:27:30.802Z	38	F4 logic on the surface	CONFIRMED	0.01	256 of 256 pairs right; 61 cells; slowest settles at tick 17
2026-09-20T01:27:30.820Z	95	F10 scale	REFUTED	0.01	near key 1.0e+6: worst misplacement 4.92e-7, nearest neighbour 1.69 apart, holds; near key 1.0e+8: worst misplacement 0.000412, nearest neighbour 1.74 apart, holds; near key 1.0e+9: worst misplacement 0.0157, nearest neighbour 1.68 apart, holds; near key 1.0e+10: worst misplacement 0.451, nearest ne
2026-09-20T01:27:30.950Z	99	F10 scale	CONFIRMED	0.12	724,224 states compared, 0 differ; forwards 41,914,507 states a second, backwards with its cache 8,002,687 a second, one core
2026-09-20T01:27:51.867Z	95	F10 scale	CONFIRMED	0.02	near key 1.0e+6: worst misplacement 4.92e-7, true nearest neighbour 1.69 apart, on the page 1.69, holds; near key 1.0e+8: worst misplacement 0.000412, true nearest neighbour 1.74 apart, on the page 1.74, holds; near key 1.0e+9: worst misplacement 0.0157, true nearest neighbour 1.68 apart, on the pag
2026-09-20T01:28:03.308Z	95	F10 scale	CONFIRMED	0.02	near key 1.0e+6: worst misplacement 4.92e-7, true nearest neighbour 1.69 apart, on the page 1.69, holds; near key 1.0e+8: worst misplacement 0.000412, true nearest neighbour 1.74 apart, on the page 1.74, holds; near key 1.0e+9: worst misplacement 0.0157, true nearest neighbour 1.68 apart, on the pag
